Country Name,Country Code,Series Name,Series Code,1970 [YR1970],1980 [YR1980],1990 [YR1990],2000 [YR2000],2010 [YR2010]
Bahrain,BHR,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,0.92,1.54,2.28,2.8,2.69
Bahrain,BHR,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,0.11,0.24,0.43,0.39,0.32
Bahrain,BHR,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,5.19,6.28,7.99,8.27,8.49
Bahrain,BHR,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,61.69,41.9,32.16,25.34,28.89
Bahrain,BHR,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,..,..,..,..,6.27459
Bangladesh,BGD,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,1.02,1.62,2.18,2.74,3.38
Bangladesh,BGD,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,0.34,0.6,0.87,1.63,2.4
Bangladesh,BGD,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,0.02,0.03,0.08,0.11,0.13
Bangladesh,BGD,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,2.12,2.76,3.61,7.01,8.21
Bangladesh,BGD,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,78.21,66.81,55.55,44.41,31.88
Bangladesh,BGD,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,..,..,..,..,..
Barbados,BRB,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,5.48,5.09,5.51,5.64,5.83
Barbados,BRB,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,2.8,2.1,2.82,3.13,3.49
Barbados,BRB,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,0.03,0.13,0.11,0.04,0.13
Barbados,BRB,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,9.16,8.95,9.18,9.23,9.55
Barbados,BRB,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.83,1.55,0.8,0.01,0.22
Barbados,BRB,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,1.1,0.84679,..,0.01349,..
Belarus,BLR,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,..,..,..,..,..
Belarus,BLR,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,..,..,..,..,..
Belarus,BLR,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,..,..,..,..,..
Belarus,BLR,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,..,..,..,..,..
Belarus,BLR,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..
Belarus,BLR,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,65.16248,..,..,..,..
Belgium,BEL,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,5.64,5.57,5.51,5.59,5.57
Belgium,BEL,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,1.79,2.51,3.29,3.94,4.23
Belgium,BEL,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,0.23,0.42,0.62,0.75,0.9
Belgium,BEL,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,9.66,9.33,9.7,9.65,8.45
Belgium,BEL,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,1.22,3.14,4.68,4.1,4.67
Belgium,BEL,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,..,..,..,..,..
Belize,BLZ,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,7.11,6.79,7.18,7.72,7.7
Belize,BLZ,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,0.6,0.86,1.38,2.18,3.41
Belize,BLZ,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,0.03,0.05,0.2,0.19,0.18
Belize,BLZ,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,8.7,8.74,9.64,9.64,10.45
Belize,BLZ,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,8.72,7.67,9.93,3.39,0.09
Belize,BLZ,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,12.177,10.7,..,..,0.09363
Benin,BEN,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,0.66,0.88,1.45,1.97,2.57
Benin,BEN,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,0.18,0.33,0.68,1.08,1.74
Benin,BEN,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,0.01,0.01,0.03,0.06,0.12
Benin,BEN,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,1.72,2.59,3.02,4.36,6.87
Benin,BEN,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,85.97,82.36,72.35,63.5,53.91
Benin,BEN,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,..,..,..,..,..
Bermuda,BMU,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,..,..,..,..,..
Bermuda,BMU,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,..,..,..,..,..
Bermuda,BMU,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,..,..,..,..,..
Bermuda,BMU,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,..,..,..,..,..
Bermuda,BMU,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..
Bermuda,BMU,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,2,..,..,0.44421,..
Bhutan,BTN,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,..,..,..,..,..
Bhutan,BTN,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,..,..,..,..,..
Bhutan,BTN,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,..,..,..,..,..
Bhutan,BTN,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,..,..,..,..,..
Bhutan,BTN,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..
Bhutan,BTN,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,..,..,..,..,..
Bolivia,BOL,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,2.7,3.66,4.87,5.6,5.47
Bolivia,BOL,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,1.17,1.63,2.13,2.32,2.2
Bolivia,BOL,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,0.12,0.19,0.26,0.36,0.58
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,5.76,7.63,9.17,9.98,7.75
Bolivia,BOL,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,43.89,30.74,19.09,12.21,9.82
Bolivia,BOL,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,..,..,..,..,..
Bosnia and Herzegovina,BIH,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,..,..,..,..,..
Bosnia and Herzegovina,BIH,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,..,..,..,..,..
Bosnia and Herzegovina,BIH,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,..,..,..,..,..
Bosnia and Herzegovina,BIH,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,..,..,..,..,..
Bosnia and Herzegovina,BIH,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..
Bosnia and Herzegovina,BIH,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,..,..,..,..,9.87519
Botswana,BWA,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,1.93,2.76,4.62,5.82,6.26
Botswana,BWA,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,0.2,0.34,2.15,2.9,3.18
Botswana,BWA,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,0.02,0.01,0.09,0.1,0.12
Botswana,BWA,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,3.32,4.95,9.75,10.53,10.39
Botswana,BWA,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,57.18,45.8,31.2,15.59,9.83
Botswana,BWA,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,..,..,..,..,..
Brazil,BRA,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,2.38,2.09,3.52,4.71,5.31
Brazil,BRA,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,0.85,0.81,1.01,1.61,2.27
Brazil,BRA,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,0.06,0.14,0.16,0.2,0.3
Brazil,BRA,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,3.71,2.67,6.32,7.95,6.92
Brazil,BRA,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,37.76,27.43,22.31,16.03,9.6
Brazil,BRA,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,42.4843,32.7,..,..,..
British Virgin Islands,VGB,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,..,..,..,..,..
British Virgin Islands,VGB,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,..,..,..,..,..
British Virgin Islands,VGB,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,..,..,..,..,..
British Virgin Islands,VGB,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,..,..,..,..,..
British Virgin Islands,VGB,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..
British Virgin Islands,VGB,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,..,2.35684,..,..,..
Brunei Darussalam,BRN,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,3.11,4.07,4.5,4.67,4.71
Brunei Darussalam,BRN,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,1.48,2.35,2.98,3.29,3.67
Brunei Darussalam,BRN,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,0.07,0.22,0.21,0.26,0.36
Brunei Darussalam,BRN,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,7.96,7.38,7.15,7.29,7.95
Brunei Darussalam,BRN,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,41.49,28.08,23.06,21.28,21.11
Brunei Darussalam,BRN,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,..,..,..,..,..
Bulgaria,BGR,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,3.65,4.53,4.91,5.64,6.13
Bulgaria,BGR,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,2.22,2.94,3.08,3.12,4.43
Bulgaria,BGR,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,0.26,0.38,0.42,0.52,0.68
Bulgaria,BGR,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,8.9,8.72,5.08,7.91,8.01
Bulgaria,BGR,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,7.45,4.93,4.03,1.35,2.37
Bulgaria,BGR,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,..,..,..,..,..
Burkina Faso,BFA,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,..,..,..,..,..
Burkina Faso,BFA,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,..,..,..,..,..
Burkina Faso,BFA,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,..,..,..,..,..
Burkina Faso,BFA,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,..,..,..,..,..
Burkina Faso,BFA,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..
Burkina Faso,BFA,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,..,..,..,..,..
Burundi,BDI,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,0.97,1.31,1.55,2.25,2.78
Burundi,BDI,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,0.08,0.12,0.18,0.29,0.53
Burundi,BDI,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,0.01,0.01,0.01,0.01,0.03
Burundi,BDI,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,1.87,2.23,2.85,3.7,5.08
Burundi,BDI,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,81.13,75.8,71.88,58.4,50.43
Burundi,BDI,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,..,..,75.38427,..,..
Cabo Verde,CPV,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,..,..,..,..,..
Cabo Verde,CPV,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,..,..,..,..,..
Cabo Verde,CPV,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,..,..,..,..,..
Cabo Verde,CPV,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,..,..,..,..,..
Cabo Verde,CPV,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..
Cabo Verde,CPV,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,..,..,..,..,..
Cambodia,KHM,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,1.53,2.12,2.58,2.96,3.68
Cambodia,KHM,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,0.28,0.41,0.5,0.52,0.97
Cambodia,KHM,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,0,0.01,0.01,0.01,0.07
Cambodia,KHM,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,2.91,3.25,3.97,4.11,5.67
Cambodia,KHM,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,64.31,50.21,40.76,32.77,22.22
Cambodia,KHM,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,..,..,..,..,..
Cameroon,CMR,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,1.49,2.38,3.28,3.97,4.26
